"","container.title","published.print","doi","issue","title","volume"
"1","American Economic Journal: Applied Economics","2016-04","10.1257/app.8.2.i","2","Front Matter","8"
"2","American Economic Journal: Applied Economics","2018-01","10.1257/app.10.1.i","1","Front Matter","10"
"3","American Economic Journal: Applied Economics","2018-10","10.1257/app.20170068","4","Identifying Sorting in Practice","10"
"4","American Economic Journal: Applied Economics","2018-10","10.1257/app.20160618","4","Does Electoral Competition Curb Party Favoritism?","10"
"5","American Economic Journal: Applied Economics","2018-10","10.1257/app.20160556","4","The Effect of Terrorism on Employment and Consumer Sentiment: Evidence from Successful and Failed Terror Attacks","10"
"6","American Economic Journal: Applied Economics","2018-10","10.1257/app.20170042","4","Mentors or Teachers? Microenterprise Training in Kenya","10"
"7","American Economic Journal: Applied Economics","2018-10","10.1257/app.20170080","4","Economic Shocks and Crime: Evidence from the Brazilian Trade Liberalization","10"
"8","American Economic Journal: Applied Economics","2018-10","10.1257/app.20160395","4","Access to Migration for Rural Households","10"
"9","American Economic Journal: Applied Economics","2018-10","10.1257/app.20160232","4","Diabetes and Diet: Purchasing Behavior Change in Response to Health Information","10"
"10","American Economic Journal: Applied Economics","2018-10","10.1257/app.20150057","4","Social Networks as Contract Enforcement: Evidence from a Lab Experiment in the Field","10"
"11","American Economic Journal: Applied Economics","2018-10","10.1257/app.20170077","4","Role Models or Individual Consulting: The Impact of Personalizing Micro-entrepreneurship Training","10"
"12","American Economic Journal: Applied Economics","2018-10","10.1257/app.20160510","4","Why Has Urban Inequality Increased?","10"
"13","American Economic Journal: Applied Economics","2018-10","10.1257/app.10.4.i","4","Front Matter","10"
"14","American Economic Journal: Applied Economics","2018-10","10.1257/app.20170113","4","Foreign Rivals Are Coming to Town: Responding to the Threat of Foreign Multinational Entry","10"
"15","American Economic Journal: Applied Economics","2018-07","10.1257/app.20160390","3","Emotional Judges and Unlucky Juveniles","10"
"16","American Economic Journal: Applied Economics","2018-07","10.1257/app.10.3.i","3","Front Matter","10"
"17","American Economic Journal: Applied Economics","2018-07","10.1257/app.20160183","3","Exploiting Externalities to Estimate the Long-Term Effects of Early Childhood Deworming","10"
"18","American Economic Journal: Applied Economics","2018-07","10.1257/app.20160626","3","Academic Peer Effects with Different Group Assignment Policies: Residential Tracking versus Random Assignment","10"
"19","American Economic Journal: Applied Economics","2018-07","10.1257/app.20150360","3","Do Free Trade Agreements Affect Tariffs of Nonmember Countries? A Theoretical and Empirical Investigation","10"
